Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Direct In
High Voltage:	0
Conversion Gain:	1024
Coarse Gain:	1
Fine Gain:	1.00
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	10.0
Elapsed Live Time:	9.9
Start Time:	June 02, 2021, 01:30:36
End Time:	June 02, 2021, 01:30:46
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
471		2
472		1
473		7
474		6
475		4
476		5
477		6
478		3
479		4
480		3
481		2
482		3
483		4
484		3
485		5
486		3
487		4
488		2
489		6
490		6
491		7
492		3
493		7
494		2
495		7
496		1
497		7
498		6
499		2
500		3
501		1
502		4
503		5
504		2
505		5
506		0
507		2
508		5
509		3
510		1
511		4
512		2
513		2
514		5
515		4
516		0
517		1
518		3
519		1
520		2
521		1
522		1
523		0
524		4
525		3
526		0
527		1
528		1
529		0
530		0
531		3
532		0
533		1
534		0
535		1
536		2
537		3
538		2
539		1
540		2
541		0
542		3
543		1
544		0
545		1
546		0
547		3
548		1
549		1
550		1
551		2
552		2
553		0
554		2
555		1
556		1
557		3
558		4
559		2
560		1
561		3
562		2
563		7
564		3
565		3
566		3
567		5
568		4
569		6
570		5
571		6
572		11
573		9
574		5
575		15
576		11
577		8
578		16
579		12
580		13
581		20
582		11
583		10
584		16
585		12
586		12
587		6
588		8
589		10
590		7
591		10
592		9
593		3
594		7
595		1
596		6
597		3
598		9
599		1
600		3
601		2
602		3
603		5
604		3
605		2
606		4
607		5
608		1
609		2
610		1
611		3
612		2
613		0
614		3
615		1
616		1
617		0
618		1
619		0
620		1
621		0
622		1
623		0
624		0
625		0
626		0
627		0
628		2
629		1
630		0
631		0
632		0
633		0
634		0
635		0
636		0
637		0
638		0
639		0
640		0
641		0
642		0
643		0
644		0
645		1
646		0
647		0
648		0
649		1
650		0
651		0
652		0
653		1
654		0
655		0
656		0
657		0
658		0
659		0
660		0
661		0
662		0
663		0
664		0
665		0
666		0
667		0
668		0
669		0
670		0
671		0
672		0
673		1
674		0
675		0
676		0
677		0
678		0
679		0
680		0
681		0
682		1
683		0
684		1
685		0
686		1
687		0
688		0
689		0
690		0
691		0
692		1
693		0
694		0
695		1
696		0
697		1
698		1
699		0
700		0
701		0
702		2
703		1
704		0
705		0
706		1
707		0
708		0
709		0
710		0
711		0
712		0
713		0
714		0
715		0
716		0
717		0
718		0
719		0
720		1
721		0
722		0
723		1
724		0
725		1
726		0
727		0
728		0
729		0
730		0
731		0
732		0
733		0
734		0
735		0
736		0
737		0
738		0
739		0
740		0
741		0
742		0
743		0
744		1
745		0
746		0
747		0
748		0
749		0
750		0
751		0
752		1
753		0
754		0
755		0
756		0
757		0
758		0
759		0
760		0
761		0
762		0
763		0
764		0
765		0
766		0
767		0
768		0
769		0
770		0
771		0
772		0
773		0
774		0
775		0
776		0
777		0
778		0
779		0
780		0
781		0
782		2
783		0
784		0
785		0
786		0
787		0
788		0
789		0
790		0
791		0
792		0
793		1
794		0
795		0
796		0
797		0
798		0
799		0
800		0
801		0
802		0
803		0
804		0
805		0
806		0
807		0
808		0
809		0
810		0
811		0
812		1
813		0
814		0
815		0
816		0
817		0
818		1
819		0
820		0
821		0
822		0
823		0
824		0
825		0
826		0
827		0
828		0
829		0
830		0
831		0
832		0
833		0
834		0
835		0
836		0
837		0
838		0
839		0
840		0
841		0
842		0
843		0
844		0
845		0
846		0
847		0
848		0
849		0
850		0
851		0
852		0
853		0
854		0
855		0
856		0
857		0
858		1
859		0
860		0
861		0
862		0
863		0
864		1
865		0
866		0
867		0
868		0
869		0
870		0
871		0
872		0
873		0
874		0
875		0
876		0
877		0
878		0
879		1
880		0
881		0
882		1
883		0
884		0
885		0
886		0
887		0
888		0
889		0
890		0
891		0
892		0
893		0
894		0
895		0
896		0
897		0
898		0
899		0
900		0
901		0
902		0
903		0
904		0
905		0
906		0
907		0
908		0
909		0
910		0
911		0
912		0
913		0
914		0
915		0
916		0
917		0
918		0
919		0
920		0
921		0
922		0
923		0
924		0
925		0
926		0
927		0
928		0
929		0
930		1
931		0
932		0
933		0
934		0
935		0
936		0
937		0
938		0
939		0
940		0
941		0
942		0
943		0
944		0
945		0
946		0
947		0
948		0
949		0
950		0
951		0
952		0
953		0
954		0
955		0
956		0
957		0
958		0
959		0
960		0
961		0
962		0
963		0
964		0
965		0
966		0
967		0
968		0
969		0
970		0
971		0
972		0
973		0
974		0
975		0
976		0
977		0
978		0
979		0
980		0
981		0
982		0
983		0
984		0
985		0
986		0
987		0
988		0
989		0
990		0
991		0
992		0
993		0
994		0
995		0
996		0
997		0
998		0
999		0
1000		0
1001		0
1002		0
1003		0
1004		0
1005		0
1006		0
1007		0
1008		0
1009		0
1010		0
1011		0
1012		0
1013		0
1014		0
1015		0
1016		0
1017		0
1018		0
1019		0
1020		0
1021		0
1022		0
1023		0
