Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Direct In
High Voltage:	0
Conversion Gain:	1024
Coarse Gain:	1
Fine Gain:	1.00
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	10.0
Elapsed Live Time:	9.89
Start Time:	June 02, 2021, 01:30:46
End Time:	June 02, 2021, 01:30:56
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
471		1
472		10
473		4
474		0
475		4
476		2
477		2
478		3
479		7
480		5
481		3
482		4
483		6
484		3
485		3
486		7
487		2
488		0
489		4
490		4
491		2
492		7
493		3
494		2
495		5
496		3
497		3
498		4
499		5
500		3
501		7
502		4
503		3
504		3
505		2
506		0
507		4
508		2
509		1
510		1
511		3
512		2
513		1
514		1
515		3
516		3
517		3
518		5
519		2
520		4
521		0
522		3
523		3
524		1
525		2
526		2
527		0
528		4
529		2
530		2
531		1
532		0
533		2
534		0
535		1
536		3
537		0
538		4
539		3
540		0
541		1
542		0
543		2
544		4
545		2
546		0
547		2
548		1
549		0
550		2
551		0
552		0
553		5
554		2
555		1
556		4
557		2
558		0
559		0
560		0
561		1
562		1
563		2
564		1
565		3
566		4
567		3
568		7
569		5
570		5
571		7
572		5
573		8
574		7
575		5
576		9
577		6
578		12
579		11
580		6
581		12
582		5
583		7
584		11
585		14
586		14
587		12
588		7
589		9
590		9
591		5
592		8
593		8
594		11
595		6
596		4
597		3
598		7
599		2
600		5
601		5
602		7
603		4
604		2
605		1
606		2
607		2
608		1
609		4
610		4
611		0
612		1
613		0
614		1
615		0
616		1
617		0
618		0
619		0
620		1
621		0
622		0
623		0
624		1
625		2
626		0
627		1
628		0
629		1
630		0
631		0
632		0
633		0
634		0
635		0
636		0
637		1
638		0
639		0
640		1
641		0
642		0
643		0
644		0
645		0
646		0
647		0
648		0
649		0
650		0
651		0
652		0
653		0
654		0
655		0
656		0
657		1
658		0
659		0
660		1
661		0
662		0
663		0
664		1
665		0
666		0
667		0
668		0
669		0
670		0
671		0
672		0
673		0
674		0
675		1
676		1
677		0
678		0
679		0
680		0
681		0
682		1
683		0
684		0
685		0
686		0
687		1
688		1
689		1
690		0
691		0
692		1
693		1
694		1
695		1
696		1
697		1
698		1
699		0
700		1
701		1
702		0
703		0
704		0
705		0
706		0
707		0
708		1
709		0
710		0
711		0
712		0
713		0
714		0
715		1
716		0
717		0
718		0
719		0
720		0
721		0
722		0
723		0
724		0
725		0
726		0
727		0
728		1
729		0
730		0
731		1
732		0
733		0
734		0
735		0
736		0
737		0
738		0
739		0
740		0
741		0
742		0
743		0
744		0
745		0
746		0
747		0
748		0
749		0
750		0
751		0
752		0
753		0
754		0
755		0
756		0
757		0
758		0
759		0
760		0
761		0
762		0
763		1
764		0
765		0
766		0
767		0
768		0
769		0
770		0
771		0
772		0
773		0
774		0
775		0
776		0
777		0
778		0
779		0
780		0
781		0
782		0
783		0
784		0
785		0
786		0
787		1
788		0
789		0
790		0
791		0
792		0
793		0
794		0
795		0
796		0
797		0
798		0
799		1
800		0
801		0
802		0
803		0
804		0
805		0
806		0
807		0
808		0
809		0
810		1
811		0
812		0
813		0
814		0
815		0
816		0
817		0
818		0
819		0
820		0
821		0
822		0
823		0
824		0
825		0
826		0
827		1
828		0
829		0
830		0
831		1
832		0
833		0
834		0
835		0
836		0
837		0
838		0
839		0
840		0
841		0
842		0
843		0
844		0
845		0
846		0
847		0
848		0
849		0
850		0
851		1
852		0
853		0
854		0
855		0
856		0
857		0
858		2
859		0
860		0
861		0
862		0
863		0
864		0
865		0
866		0
867		0
868		0
869		0
870		0
871		1
872		0
873		0
874		0
875		0
876		0
877		0
878		0
879		0
880		0
881		0
882		0
883		0
884		0
885		0
886		1
887		0
888		0
889		0
890		0
891		0
892		0
893		0
894		0
895		0
896		0
897		0
898		0
899		0
900		0
901		0
902		0
903		0
904		0
905		0
906		0
907		0
908		0
909		0
910		0
911		0
912		0
913		0
914		0
915		0
916		0
917		0
918		0
919		1
920		0
921		0
922		0
923		0
924		0
925		0
926		0
927		0
928		0
929		0
930		0
931		0
932		0
933		0
934		0
935		0
936		0
937		0
938		0
939		0
940		0
941		0
942		0
943		0
944		0
945		0
946		0
947		0
948		0
949		0
950		0
951		0
952		0
953		0
954		0
955		0
956		0
957		0
958		0
959		0
960		0
961		0
962		0
963		0
964		0
965		0
966		0
967		0
968		0
969		0
970		0
971		0
972		0
973		0
974		0
975		0
976		0
977		0
978		0
979		0
980		0
981		0
982		0
983		0
984		0
985		0
986		0
987		0
988		0
989		0
990		0
991		0
992		0
993		0
994		0
995		0
996		0
997		0
998		0
999		0
1000		0
1001		0
1002		0
1003		0
1004		0
1005		0
1006		0
1007		0
1008		0
1009		0
1010		0
1011		0
1012		0
1013		0
1014		0
1015		0
1016		0
1017		0
1018		0
1019		0
1020		0
1021		0
1022		0
1023		0
